eval_loss,eval_model_preparation_time,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,checkpoint
0.666826069355011,0.0024,0.7157490396927016,0.7197262817246853,0.7489199174391654,0.7157490396927016,10.0229,155.844,19.555,checkpoint-500
0.5985327959060669,0.0029,0.7541613316261203,0.7553879318400566,0.7582850563905087,0.7541613316261203,10.0813,154.941,19.442,checkpoint-1000
0.5779961347579956,0.0026,0.7618437900128041,0.760484013231886,0.7608134249198776,0.7618437900128041,10.1295,154.203,19.349,checkpoint-1500
0.569638729095459,0.0026,0.763764404609475,0.7628097922816379,0.762465484192744,0.763764404609475,10.1905,153.28,19.234,checkpoint-2000
0.5725905895233154,0.0025,0.7740076824583867,0.7751145035048359,0.776912747834341,0.7740076824583867,10.2874,151.836,19.052,checkpoint-2500
0.6027743816375732,0.0045,0.7663252240717029,0.7657598929450267,0.7657975995476274,0.7663252240717029,10.3956,150.257,18.854,checkpoint-3000
0.5867558121681213,0.0054,0.7695262483994878,0.7686510352039396,0.7686228495468742,0.7695262483994878,10.4123,150.016,18.824,checkpoint-3500
0.6378226280212402,0.0028,0.762483994878361,0.7619880818742866,0.7618247568951794,0.762483994878361,10.3016,151.626,19.026,checkpoint-4000
0.6678963303565979,0.0026,0.7714468629961587,0.7719753004614022,0.7733168614979464,0.7714468629961587,10.2886,151.819,19.05,checkpoint-4500
0.6688541173934937,0.0024,0.7618437900128041,0.762242833065559,0.76275156217453,0.7618437900128041,10.2817,151.921,19.063,checkpoint-5000
0.6833504438400269,0.0024,0.7669654289372599,0.7668776111289907,0.7668300218105368,0.7669654289372599,10.2882,151.825,19.051,checkpoint-5500
0.6836206912994385,0.0024,0.7688860435339309,0.7686367229515283,0.768462178331446,0.7688860435339309,10.2871,151.84,19.053,checkpoint-5565
